f_D,j_C_C,j_C_H,Re_C,Re_C_std,Re_H,Re_H_std,rmsd_fiber,rmsd_TC,rmsd_DP,rmsd_Tout,rmsd_qdot,DP_C,DP_H,T_C_out,T_H_out,qdot_C,qdot_H
0.0100,0.0501,0.0126,2.9528e+03,671.7814,3.5521e+03,735.1888,35.2892,10.3705,1.0431e+04,17.7298,694.6075,138.9616,211.7824,431.9845,59.7093,1.2397e+04,-1.2323e+04
2.5119,0.0126,0.0063,3.0123e+03,666.8837,3.6707e+03,724.2141,38.0739,17.6798,3.5958e+04,4.7739,203.1677,3.4067e+04,5.6336e+04,404.9252,68.9309,1.1673e+04,-1.1600e+04
2.5119,0.0126,0.0126,2.9819e+03,669.3974,3.6140e+03,728.2178,31.0532,9.7377,3.5254e+04,9.1086,399.7704,3.4685e+04,5.4801e+04,419.9261,63.3349,1.2079e+04,-1.2006e+04
2.5119,0.0126,0.0251,2.9624e+03,671.1388,3.5746e+03,733.8958,27.7498,8.6615,3.4829e+04,14.8741,599.7751,3.4957e+04,5.3918e+04,428.0238,60.6817,1.2297e+04,-1.2224e+04
2.5119,0.0126,0.0501,2.9509e+03,672.1136,3.5515e+03,737.0461,26.3028,9.5622,3.4575e+04,17.9373,707.7237,3.5062e+04,5.3422e+04,432.2410,59.3809,1.2410e+04,-1.2337e+04
2.5119,0.0126,0.1000,2.9446e+03,672.6123,3.5390e+03,738.7857,25.6677,10.3346,3.4430e+04,19.5089,763.4821,3.5102e+04,5.3151e+04,434.3975,58.7346,1.2468e+04,-1.2395e+04
2.5119,0.0251,1.0000e-04,2.8957e+03,616.1345,3.1271e+03,481.5129,208.9044,245.9593,5.3040e+04,308.7058,9.0951e+03,1.5591e+04,8.7121e+04,90.3729,363.0315,2.6022e+03,-2.5974e+03
2.5119,0.0251,1.9953e-04,3.1356e+03,701.6147,3.2518e+03,520.5829,183.8511,212.4288,4.9778e+04,253.2071,7.3869e+03,1.9369e+04,8.1991e+04,137.6704,298.4351,4.3125e+03,-4.3042e+03
2.5119,0.0251,3.9811e-04,3.2099e+03,698.1518,3.4260e+03,592.0156,146.7105,161.7562,4.5879e+04,180.1385,5.3455e+03,2.3871e+04,7.5461e+04,208.2523,221.8129,6.3601e+03,-6.3411e+03
2.5119,0.0251,7.9433e-04,3.1732e+03,677.8623,3.6105e+03,681.8099,107.8528,108.7896,4.2067e+04,109.0987,3.3761e+03,2.7937e+04,6.8639e+04,281.2716,151.8592,8.3406e+03,-8.3036e+03
2.5119,0.0251,0.0016,3.1057e+03,668.7386,3.7255e+03,732.0937,76.2720,65.4072,3.8928e+04,54.7570,1.7752e+03,3.0973e+04,6.2655e+04,341.4481,103.6443,9.9555e+03,-9.9006e+03
0.0100,0.0501,0.0251,2.9250e+03,673.2763,3.4947e+03,743.1802,32.1732,12.0210,1.0433e+04,24.2618,925.2622,139.6860,207.5181,440.9440,57.0695,1.2635e+04,-1.2561e+04
2.5119,0.0251,0.0032,3.0451e+03,666.6210,3.7199e+03,728.6580,54.5069,34.9787,3.6761e+04,19.4248,642.9069,3.3008e+04,5.8234e+04,384.4477,78.1139,1.1113e+04,-1.1046e+04
2.5119,0.0251,0.0063,2.9981e+03,668.3654,3.6509e+03,724.8841,41.2032,16.7662,3.5475e+04,4.2952,231.4690,3.4223e+04,5.5449e+04,411.8347,66.2968,1.1855e+04,-1.1782e+04
2.5119,0.0251,0.0126,2.9628e+03,671.2556,3.5792e+03,733.3641,34.1057,9.9608,3.4688e+04,14.6373,585.6693,3.4811e+04,5.3774e+04,427.7002,60.8297,1.2282e+04,-1.2209e+04
2.5119,0.0251,0.0251,2.9384e+03,672.9623,3.5293e+03,740.2009,30.9880,10.6388,3.4160e+04,20.9114,806.7644,3.5014e+04,5.2750e+04,436.3256,58.2077,1.2513e+04,-1.2440e+04
2.5119,0.0251,0.0501,2.9227e+03,673.7285,3.4980e+03,743.7810,29.9862,12.2783,3.3784e+04,24.2016,922.8949,3.5027e+04,5.2103e+04,440.8306,56.9037,1.2632e+04,-1.2559e+04
2.5119,0.0251,0.1000,2.9133e+03,674.0388,3.4799e+03,745.5840,29.8277,13.3261,3.3534e+04,25.8850,982.3929,3.4983e+04,5.1706e+04,443.1343,56.2507,1.2693e+04,-1.2619e+04
2.5119,0.0501,1.0000e-04,2.8962e+03,616.3815,3.1274e+03,481.5830,209.3090,246.4104,5.3033e+04,308.6048,9.0922e+03,1.5598e+04,8.7110e+04,90.4475,362.9026,2.6044e+03,-2.6009e+03
2.5119,0.0501,1.9953e-04,3.1360e+03,701.8045,3.2526e+03,520.8918,184.5495,213.1385,4.9756e+04,252.8711,7.3782e+03,1.9389e+04,8.1957e+04,137.9807,298.0683,4.3202e+03,-4.3140e+03
2.5119,0.0501,3.9811e-04,3.2093e+03,698.2470,3.4282e+03,593.0243,147.7193,162.5357,4.5827e+04,179.3565,5.3255e+03,2.3909e+04,7.5377e+04,209.0378,221.0247,6.3788e+03,-6.3625e+03
2.5119,0.0501,7.9433e-04,3.1711e+03,678.0770,3.6147e+03,683.7405,109.1500,109.3856,4.1969e+04,107.7697,3.3399e+03,2.7990e+04,6.8473e+04,282.6912,150.6120,8.3754e+03,-8.3410e+03
0.0100,0.0501,0.0501,2.9056e+03,673.6091,3.4568e+03,747.1902,31.5853,13.9809,1.0435e+04,27.6900,1.0453e+03,139.4507,204.5146,445.6364,55.7400,1.2757e+04,-1.2684e+04
2.5119,0.0501,0.0016,3.1020e+03,669.1371,3.7291e+03,733.0955,77.8394,65.6479,3.8770e+04,52.9123,1.7197e+03,3.1036e+04,6.2381e+04,343.6072,102.1764,1.0010e+04,-9.9572e+03
2.5119,0.0501,0.0032,3.0398e+03,667.0551,3.7169e+03,728.0286,56.2356,34.7482,3.6548e+04,17.1522,569.9088,3.3082e+04,5.7850e+04,387.3928,76.7140,1.1190e+04,-1.1124e+04
2.5119,0.0501,0.0063,2.9904e+03,669.1326,3.6385e+03,726.1238,42.9115,16.3105,3.5220e+04,6.1843,293.7569,3.4300e+04,5.4981e+04,415.4622,64.9907,1.1950e+04,-1.1878e+04
2.5119,0.0501,0.0126,2.9518e+03,672.0695,3.5578e+03,736.4941,35.8211,10.4142,3.4378e+04,17.6244,687.4570,3.4863e+04,5.3220e+04,431.8189,59.5763,1.2389e+04,-1.2316e+04
2.5119,0.0501,0.0251,2.9231e+03,673.4608,3.4996e+03,743.6842,33.0857,12.0272,3.3745e+04,24.1371,917.0400,3.4987e+04,5.2064e+04,440.7457,56.9493,1.2626e+04,-1.2553e+04
