ineff,eff,alpha,NTU,C_r,T_C_out,T_H_out,m_dot_C,m_dot_H,ConvSteps,run
-0.0077,1.0077,1,27.5420,0.3000,649.96,469.61,0.0627,0.2102,60,1082
5.4066e-04,0.9995,1,27.5420,0.4000,649.69,410.13,0.0631,0.1577,60,1083
0.0047,0.9953,1,27.5420,0.5000,648.72,355.84,0.0621,0.1266,60,1084
0.0077,0.9923,1,27.5420,0.6000,645.4,292.77,0.0631,0.1051,60,1085
0.0186,0.9814,1,27.5420,0.7000,638.72,238.48,0.0629,0.0902,60,1086
0.0393,0.9607,1,27.5420,0.8000,626.45,188.84,0.0631,0.0788,60,1087
0.0689,0.9311,1,27.5420,0.9000,608.65,147.22,0.0631,0.0701,60,1088
0.1073,0.8927,1,27.5420,1,585.64,114.36,0.0631,0.0631,60,1089
0.5077,0.4923,0.9000,1,0.9000,345.38,384.12,1.7370,1.9265,18,109
-1.1086e-04,1.0001,0,41.6870,0.0100,650,644,0.0417,4.1672,29,1090
-9.3559e-05,1.0001,0,41.6870,0.1000,650,589.99,0.0417,0.4167,24,1091
0.0028,0.9972,0,41.6870,0.2000,650,530.24,0.0417,0.2076,60,1092
-5.6612e-05,1.0001,0,41.6870,0.3000,650,469.99,0.0417,0.1389,33,1093
-5.0955e-04,1.0005,0,41.6870,0.4000,650,411.27,0.0415,0.1039,60,1094
-0.0025,1.0025,0,41.6870,0.5000,650,348.72,0.0417,0.0835,60,1095
-9.5291e-05,1.0001,0,41.6870,0.6000,650,289.95,0.0416,0.0694,14,1096
0.0084,0.9916,0,41.6870,0.7000,650,230.43,0.0419,0.0594,60,1097
5.0945e-05,0.9999,0,41.6870,0.8000,649.97,170.02,0.0417,0.0521,60,1098
0.0015,0.9985,0,41.6870,0.9000,649.06,110.83,0.0416,0.0462,14,1099
0.5000,0.5000,0,1,1,350.03,350.02,1.7371,1.7372,60,11
0.5200,0.4800,0.9000,1,1,337.43,362.47,1.7370,1.7335,60,110
0.0241,0.9759,0,41.6870,1,639.27,68.164,0.0415,0.0418,60,1100
-2.1702e-05,1.0000,0.1000,41.6870,0.0100,650,643.99,0.0417,4.1361,28,1101
4.8513e-06,1.0000,0.1000,41.6870,0.1000,650,589.9,0.0417,0.4136,20,1102
2.7586e-05,1.0000,0.1000,41.6870,0.2000,650,529.8,0.0417,0.2067,16,1103
0.0025,0.9975,0.1000,41.6870,0.3000,650,469.82,0.0418,0.1378,60,1104
-8.9916e-04,1.0009,0.1000,41.6870,0.4000,650,408.66,0.0418,0.1034,60,1105
-0.0017,1.0017,0.1000,41.6870,0.5000,650,351.31,0.0413,0.0828,60,1106
0.0051,0.9949,0.1000,41.6870,0.6000,650,294.37,0.0413,0.0690,60,1107
8.6302e-05,0.9999,0.1000,41.6870,0.7000,650,229.59,0.0416,0.0590,14,1108
1.8005e-04,0.9998,0.1000,41.6870,0.8000,649.94,169.71,0.0416,0.0516,14,1109
0.3696,0.6304,1,1,0.0100,428.14,646.22,1.7371,173.7172,60,111
0.0114,0.9886,0.1000,41.6870,0.9000,649.02,115.32,0.0417,0.0460,60,1110
0.0234,0.9766,0.1000,41.6870,1,635.88,66.498,0.0420,0.0415,60,1111
-0.0046,1.0046,0.2000,41.6870,0.0100,650,643.96,0.0417,4.1452,60,1112
4.1807e-06,1.0000,0.2000,41.6870,0.1000,650,589.86,0.0417,0.4145,60,1113
-6.3291e-04,1.0006,0.2000,41.6870,0.2000,650,530.2,0.0415,0.2073,60,1114
1.7777e-05,1.0000,0.2000,41.6870,0.3000,650,469.78,0.0417,0.1382,28,1115
1.4976e-05,1.0000,0.2000,41.6870,0.4000,650,409.71,0.0417,0.1036,25,1116
3.1999e-05,1.0000,0.2000,41.6870,0.5000,650,349.64,0.0416,0.0828,15,1117
0.0022,0.9978,0.2000,41.6870,0.6000,650,292.92,0.0414,0.0691,60,1118
6.4468e-05,0.9999,0.2000,41.6870,0.7000,649.99,229.6,0.0416,0.0591,14,1119
0.3860,0.6140,1,1,0.1000,418.49,613.16,1.7369,17.3716,60,112
-0.0033,1.0033,0.2000,41.6870,0.8000,649.82,168.47,0.0416,0.0518,60,1120
0.0061,0.9939,0.2000,41.6870,0.9000,647.03,110.99,0.0418,0.0460,60,1121
0.0256,0.9744,0.2000,41.6870,1,634.48,72.036,0.0413,0.0417,60,1122
-5.7543e-05,1.0001,0.3000,41.6870,0.0100,650,644,0.0417,4.1477,27,1123
0.0030,0.9970,0.3000,41.6870,0.1000,650,590.22,0.0416,0.4148,60,1124
2.6596e-05,1.0000,0.3000,41.6870,0.2000,650,529.9,0.0417,0.2074,28,1125
0.0174,0.9826,0.3000,41.6870,0.3000,650,474.79,0.0412,0.1383,60,1126
4.5243e-05,1.0000,0.3000,41.6870,0.4000,650,409.75,0.0416,0.1036,15,1127
-0.0123,1.0123,0.3000,41.6870,0.5000,650,344.93,0.0418,0.0830,60,1128
-0.0033,1.0033,0.3000,41.6870,0.6000,650,289.57,0.0415,0.0691,60,1129
0.4035,0.5965,1,1,0.2000,407.91,578.41,1.7373,8.6858,60,113
0.0015,0.9985,0.3000,41.6870,0.7000,649.98,230.5,0.0417,0.0593,60,1130
