ineff,eff,alpha,NTU,C_r,T_C_out,T_H_out,m_dot_C,m_dot_H,ConvSteps,run
-7.3266e-04,1.0007,1,39.8110,0.2000,650,530,0.0436,0.2183,60,1081
-9.4553e-04,1.0009,1,39.8110,0.3000,650,469.53,0.0437,0.1454,60,1082
0.0039,0.9961,1,39.8110,0.4000,649.97,411.64,0.0437,0.1094,60,1083
0.0036,0.9964,1,39.8110,0.5000,649.68,351.35,0.0435,0.0876,60,1084
-0.0067,1.0067,1,39.8110,0.6000,648.28,289.48,0.0436,0.0728,60,1085
0.0094,0.9906,1,39.8110,0.7000,644.35,233.95,0.0436,0.0623,60,1086
0.0236,0.9764,1,39.8110,0.8000,634.25,178.84,0.0437,0.0544,60,1087
0.0482,0.9518,1,39.8110,0.9000,620.94,140.05,0.0434,0.0486,60,1088
0.0881,0.9119,1,39.8110,1,593.62,101.09,0.0437,0.0436,60,1089
0.5078,0.4922,0.9000,1,0.9000,345.28,384.13,1.7375,1.9273,60,109
-6.4214e-05,1.0001,0,63.0960,0.0100,650,644,0.0275,2.7532,60,1090
9.3798e-04,0.9991,0,63.0960,0.1000,650,590.1,0.0275,0.2753,60,1091
-0.0149,1.0149,0,63.0960,0.2000,650,528.97,0.0274,0.1380,60,1092
-1.4767e-04,1.0001,0,63.0960,0.3000,650,469.97,0.0275,0.0918,30,1093
-0.0062,1.0062,0,63.0960,0.4000,650,409.59,0.0274,0.0687,15,1094
-2.8125e-04,1.0003,0,63.0960,0.5000,650,349.9,0.0275,0.0550,14,1095
0.0043,0.9957,0,63.0960,0.6000,650,291.96,0.0274,0.0459,60,1096
-0.0040,1.0040,0,63.0960,0.7000,650,226.56,0.0276,0.0394,60,1097
-5.0895e-05,1.0001,0,63.0960,0.8000,650,169.97,0.0275,0.0344,15,1098
1.8227e-04,0.9998,0,63.0960,0.9000,649.89,110.1,0.0275,0.0306,60,1099
0.4999,0.5001,0,1,1,349.99,349.98,1.7373,1.7369,60,11
0.5202,0.4798,0.9000,1,1,337.41,362.52,1.7375,1.7347,60,110
0.0241,0.9759,0,63.0960,1,640.56,58.281,0.0275,0.0278,60,1100
-0.0035,1.0035,0.1000,63.0960,0.0100,650,644.01,0.0273,2.7327,60,1101
0.0010,0.9990,0.1000,63.0960,0.1000,650,589.99,0.0275,0.2734,60,1102
-0.0105,1.0105,0.1000,63.0960,0.2000,650,530.99,0.0270,0.1366,60,1103
4.9412e-05,1.0000,0.1000,63.0960,0.3000,650,469.69,0.0275,0.0910,15,1104
-9.9396e-04,1.0010,0.1000,63.0960,0.4000,650,409.91,0.0275,0.0682,60,1105
-0.0015,1.0015,0.1000,63.0960,0.5000,650,350.54,0.0274,0.0547,60,1106
-0.0056,1.0056,0.1000,63.0960,0.6000,650,282.43,0.0279,0.0456,60,1107
-0.0067,1.0067,0.1000,63.0960,0.7000,650,224.34,0.0277,0.0391,60,1108
-0.0073,1.0073,0.1000,63.0960,0.8000,650,162.36,0.0277,0.0341,60,1109
0.3696,0.6304,1,1,0.0100,428.14,646.22,1.7371,173.7172,60,111
0.0017,0.9983,0.1000,63.0960,0.9000,649.82,120.27,0.0270,0.0303,60,1110
-0.0037,1.0037,0.1000,63.0960,1,634.33,55.716,0.0275,0.0274,60,1111
-7.4718e-05,1.0001,0.2000,63.0960,0.0100,650,643.99,0.0275,2.7387,27,1112
-0.0012,1.0012,0.2000,63.0960,0.1000,650,589.63,0.0276,0.2739,60,1113
-0.0042,1.0042,0.2000,63.0960,0.2000,650,528.14,0.0278,0.1369,60,1114
0.0024,0.9976,0.2000,63.0960,0.3000,650,472.08,0.0272,0.0913,60,1115
2.5486e-05,1.0000,0.2000,63.0960,0.4000,650,409.7,0.0275,0.0685,27,1116
0.0078,0.9922,0.2000,63.0960,0.5000,650,349.88,0.0277,0.0548,60,1117
-0.0041,1.0041,0.2000,63.0960,0.6000,650,284.48,0.0278,0.0456,60,1118
0.0101,0.9899,0.2000,63.0960,0.7000,650,228.22,0.0279,0.0391,60,1119
0.3860,0.6140,1,1,0.1000,418.42,613.16,1.7372,17.3717,28,112
-0.0134,1.0134,0.2000,63.0960,0.8000,649.99,173.79,0.0269,0.0342,60,1120
-0.0046,1.0046,0.2000,63.0960,0.9000,648.89,101.38,0.0278,0.0304,60,1121
0.0181,0.9819,0.2000,63.0960,1,636.06,63.865,0.0275,0.0274,15,1122
-1.1644e-04,1.0001,0.3000,63.0960,0.0100,650,644,0.0275,2.7404,37,1123
-0.0044,1.0044,0.3000,63.0960,0.1000,650,590.13,0.0273,0.2740,60,1124
-0.0035,1.0035,0.3000,63.0960,0.2000,650,529.46,0.0275,0.1370,60,1125
-0.0161,1.0161,0.3000,63.0960,0.3000,650,465.9,0.0277,0.0913,60,1126
-0.0022,1.0022,0.3000,63.0960,0.4000,650,407.61,0.0277,0.0685,60,1127
-0.0048,1.0048,0.3000,63.0960,0.5000,650,347.51,0.0276,0.0548,60,1128
5.4097e-04,0.9995,0.3000,63.0960,0.6000,650,287.73,0.0277,0.0457,60,1129
0.4035,0.5965,1,1,0.2000,407.91,578.41,1.7373,8.6858,60,113
-0.0011,1.0011,0.3000,63.0960,0.7000,650,229.96,0.0275,0.0391,60,1130
1.6826e-04,0.9998,0.3000,63.0960,0.8000,649.95,169.65,0.0275,0.0342,14,1131
0.0026,0.9974,0.3000,63.0960,0.9000,648.58,117.33,0.0272,0.0306,60,1132
0.0169,0.9831,0.3000,63.0960,1,628.33,64.448,0.0274,0.0274,60,1133
-0.0097,1.0097,0.4000,63.0960,0.0100,650,643.95,0.0275,2.7429,60,1134
-0.0094,1.0094,0.4000,63.0960,0.1000,650,590.18,0.0272,0.2743,60,1135
0.0038,0.9962,0.4000,63.0960,0.2000,650,531.92,0.0272,0.1371,60,1136
-0.0089,1.0089,0.4000,63.0960,0.3000,650,467.38,0.0277,0.0914,60,1137
-0.0102,1.0102,0.4000,63.0960,0.4000,650,404.1,0.0279,0.0686,60,1138
1.1469e-05,1.0000,0.4000,63.0960,0.5000,650,349.73,0.0275,0.0549,58,1139
0.4204,0.5796,1,1,0.3000,397.79,545.67,1.7370,5.7906,60,114
6.2830e-06,1.0000,0.4000,63.0960,0.6000,650,289.68,0.0275,0.0457,60,1140
5.7126e-04,0.9994,0.4000,63.0960,0.7000,650,224.8,0.0279,0.0391,60,1141
-0.0056,1.0056,0.4000,63.0960,0.8000,649.83,168.26,0.0275,0.0343,60,1142
-0.0105,1.0105,0.4000,63.0960,0.9000,647.37,114.5,0.0270,0.0305,60,1143
0.0347,0.9653,0.4000,63.0960,1,634.39,73.514,0.0275,0.0274,60,1144
0.0115,0.9885,0.5000,63.0960,0.0100,650,643.98,0.0279,2.7439,60,1145
-0.0078,1.0078,0.5000,63.0960,0.1000,650,588.74,0.0279,0.2744,60,1146
-0.0048,1.0048,0.5000,63.0960,0.2000,650,528.41,0.0277,0.1372,60,1147
-0.0146,1.0146,0.5000,63.0960,0.3000,650,472.09,0.0268,0.0915,60,1148
-0.0141,1.0141,0.5000,63.0960,0.4000,650,398.9,0.0284,0.0687,60,1149
0.4367,0.5633,1,1,0.4000,387.97,514.81,1.7372,4.3429,57,115
-2.8513e-06,1.0000,0.5000,63.0960,0.5000,650,349.74,0.0275,0.0549,60,1150
0.0145,0.9855,0.5000,63.0960,0.6000,650,294.84,0.0276,0.0456,60,1151
-0.0040,1.0040,0.5000,63.0960,0.7000,649.99,228.69,0.0273,0.0391,60,1152
