ineff,eff,alpha,NTU,C_r,T_C_out,T_H_out,m_dot_C,m_dot_H,ConvSteps,run
-5.4412e-04,1.0005,0.3000,63.0960,0.2000,650,529.83,0.0275,0.1370,60,1125
0.0103,0.9897,0.3000,63.0960,0.3000,650,474.69,0.0271,0.0913,60,1126
0.0013,0.9987,0.3000,63.0960,0.4000,650,409.1,0.0276,0.0685,60,1127
3.9971e-04,0.9996,0.3000,63.0960,0.5000,650,350.56,0.0275,0.0548,60,1128
0.0234,0.9766,0.3000,63.0960,0.6000,650,303.24,0.0271,0.0457,60,1129
0.4034,0.5966,1,1,0.2000,407.98,578.43,1.7368,8.6859,60,113
2.0974e-05,1.0000,0.3000,63.0960,0.7000,650,229.59,0.0275,0.0391,15,1130
-0.0123,1.0123,0.3000,63.0960,0.8000,649.84,164.04,0.0275,0.0342,60,1131
0.0051,0.9949,0.3000,63.0960,0.9000,647.05,112.38,0.0275,0.0304,13,1132
0.0321,0.9679,0.3000,63.0960,1,630.03,69.803,0.0278,0.0275,60,1133
0.0295,0.9705,0.4000,63.0960,0.0100,650,644.26,0.0271,2.7429,60,1134
-0.0194,1.0194,0.4000,63.0960,0.1000,650,589.54,0.0272,0.2743,60,1135
-6.2646e-04,1.0006,0.4000,63.0960,0.2000,650,529.83,0.0275,0.1371,19,1136
0.0188,0.9812,0.4000,63.0960,0.3000,650,472.04,0.0277,0.0914,60,1137
0.0087,0.9913,0.4000,63.0960,0.4000,650,411.26,0.0276,0.0686,60,1138
-0.0152,1.0152,0.4000,63.0960,0.5000,650,343.97,0.0277,0.0549,60,1139
0.4204,0.5796,1,1,0.3000,397.76,545.67,1.7372,5.7906,60,114
-0.0044,1.0044,0.4000,63.0960,0.6000,650,285.44,0.0277,0.0457,60,1140
-0.0033,1.0033,0.4000,63.0960,0.7000,649.98,226.3,0.0277,0.0391,60,1141
0.0040,0.9960,0.4000,63.0960,0.8000,649.55,169.55,0.0277,0.0343,60,1142
0.0150,0.9850,0.4000,63.0960,0.9000,644.85,111.76,0.0279,0.0305,60,1143
0.0337,0.9663,0.4000,63.0960,1,625.07,73.117,0.0280,0.0275,60,1144
-0.0011,1.0011,0.5000,63.0960,0.0100,650,644.01,0.0274,2.7439,60,1145
-9.7429e-04,1.0010,0.5000,63.0960,0.1000,650,589.19,0.0279,0.2744,60,1146
0.0056,0.9944,0.5000,63.0960,0.2000,650,527.45,0.0281,0.1371,60,1147
0.0048,0.9952,0.5000,63.0960,0.3000,650,472.84,0.0272,0.0915,60,1148
0.0213,0.9787,0.5000,63.0960,0.4000,650,417.34,0.0272,0.0686,60,1149
0.4367,0.5633,1,1,0.4000,387.96,514.81,1.7371,4.3428,20,115
-1.3069e-04,1.0001,0.5000,63.0960,0.5000,650,349.7,0.0275,0.0549,60,1150
-0.0119,1.0119,0.5000,63.0960,0.6000,650,289.19,0.0272,0.0457,60,1151
0.0025,0.9975,0.5000,63.0960,0.7000,649.94,234.26,0.0274,0.0393,60,1152
0.0048,0.9952,0.5000,63.0960,0.8000,649.01,169.06,0.0278,0.0345,60,1153
0.0252,0.9748,0.5000,63.0960,0.9000,642.9,116.48,0.0279,0.0305,60,1154
0.0426,0.9574,0.5000,63.0960,1,623.22,76.748,0.0280,0.0274,60,1155
0.0078,0.9922,0.6000,63.0960,0.0100,650,644.02,0.0276,2.7451,60,1156
-0.0085,1.0085,0.6000,63.0960,0.1000,650,590.35,0.0271,0.2745,60,1157
0.0236,0.9764,0.6000,63.0960,0.2000,650,535.06,0.0273,0.1374,60,1158
-0.0110,1.0110,0.6000,63.0960,0.3000,650,469.02,0.0274,0.0911,60,1159
0.4525,0.5475,1,1,0.5000,378.56,485.79,1.7369,3.4745,60,116
0.0084,0.9916,0.6000,63.0960,0.4000,650,415.11,0.0272,0.0686,60,1160
-0.0064,1.0064,0.6000,63.0960,0.5000,650,347.34,0.0276,0.0548,60,1161
1.3215e-05,1.0000,0.6000,63.0960,0.6000,649.99,289.68,0.0275,0.0456,13,1162
-0.0099,1.0099,0.6000,63.0960,0.7000,649.78,225.24,0.0276,0.0392,60,1163
-0.0065,1.0065,0.6000,63.0960,0.8000,647.39,158.54,0.0279,0.0341,60,1164
0.0199,0.9801,0.6000,63.0960,0.9000,639.52,116.14,0.0278,0.0306,60,1165
0.0516,0.9484,0.6000,63.0960,1,620.28,83.822,0.0274,0.0274,60,1166
0.0179,0.9821,0.7000,63.0960,0.0100,650,644.25,0.0268,2.7462,60,1167
0.0036,0.9964,0.7000,63.0960,0.1000,650,590.64,0.0274,0.2747,60,1168
-9.6843e-04,1.0010,0.7000,63.0960,0.2000,650,529.81,0.0275,0.1373,31,1169
0.4678,0.5322,1,1,0.6000,369.32,458.42,1.7371,2.8953,60,117
