ineff,eff,alpha,NTU,C_r,T_C_out,T_H_out,m_dot_C,m_dot_H,ConvSteps,run
-0.0268,1.0268,0.7,100,0.2,650,528.06,0.0172,0.0866,60,1290
-5.6904e-05,1.0001,0.7,100,0.3,650,472.38,0.0171,0.0578,60,1291
-0.0173,1.0173,0.7,100,0.4,650,407.21,0.0172,0.0431,60,1292
-0.0032,1.0032,0.7,100,0.6,649.97,283.13,0.0173,0.0288,60,1294
-0.0128,1.0128,0.7,100,0.8,646.95,177.54,0.0174,0.022,60,1296
-0.0324,1.0324,0.7,100,0.9,636.7,123.8,0.0166,0.0194,60,1297
-0.002,1.002,0.8,100,0.01,650,644.14,0.017,1.7336,60,1299
-0.00026434,1.0003,0.8,100,0.1,650,588.8,0.0177,0.1733,60,1300
-0.0089,1.0089,0.8,100,0.3,650,469.09,0.0174,0.0579,60,1302
-0.041,1.041,0.8,100,0.4,650,406.36,0.0169,0.0431,60,1303
-0.0029,1.0029,0.8,100,0.5,649.99,352.49,0.0175,0.0349,60,1304
-0.0059,1.0059,0.9,100,0.01,650,643.8,0.0177,1.7336,60,1310
-0.0124,1.0124,0.9,100,0.3,650,471.32,0.017,0.0578,60,1313
-0.0022,1.0022,0.9,100,0.4,650,407.19,0.0176,0.0431,60,1314
-0.0135,1.0135,0.9,100,0.8,637.87,187.26,0.0166,0.0216,60,1318
-0.0065,1.0065,1,100,0.01,650,644.07,0.017,1.7371,60,1321
-0.0019,1.0019,1,100,0.1,650,590.35,0.0173,0.1738,60,1322
-0.0048,1.0048,1,100,0.2,650,528.2,0.0176,0.0869,60,1323
-0.0047,1.0047,1,100,0.3,650,465.22,0.0177,0.0577,60,1324
-0.0031,1.0031,1,100,0.4,649.96,407.19,0.0175,0.0433,60,1325
-0.00086701,1.0009,0.1,10,0.01,649.97,643.97,0.1742,17.2422,60,617
-0.00025764,1.0003,0.1,10,0.1,649.93,589.9,0.1738,1.7242,60,618
-0.00061866,1.0006,0.1,10,0.4,648.94,408.66,0.1744,0.431,60,621
-0.0029,1.0029,0.2,10,0.01,649.97,643.95,0.1744,17.2801,60,628
-0.0006928,1.0007,0.3,10,0.2,649.72,529.4,0.1743,0.8645,60,641
-8.8205e-05,1.0001,0.4,10,0.01,649.97,644,0.1737,17.3068,60,650
-0.00084528,1.0008,0.5,10,0.01,649.97,643.97,0.1742,17.313,60,661
-0.001,1.001,0.5,10,0.1,649.87,589.72,0.1742,1.7313,60,662
-0.00083063,1.0008,0.6,10,0.01,649.97,644,0.1734,17.3203,60,672
-6.736e-05,1.0001,0.7,10,0.01,649.96,644,0.1737,17.3274,37,683
-0.00049587,1.0005,0.9,10,0.01,649.96,644.01,0.1732,17.3408,60,705
-9.9642e-05,1.0001,0.9,10,0.1,649.67,589.85,0.1735,1.734,60,706
-0.00011542,1.0001,1,10,0.01,649.96,644,0.1737,17.3718,60,716
-8.3047e-05,1.0001,0,15.849,0.01,650,644,0.1096,10.9608,34,727
-7.4313e-05,1.0001,0,15.849,0.1,650,590,0.1096,1.0961,25,728
-0.0015,1.0015,0,15.849,0.4,649.97,409.79,0.1096,0.274,60,731
-0.00045799,1.0005,0.1,15.849,0.1,650,590.01,0.1094,1.0879,60,739
